page_family	signature_id	count	representative_file	module_ids	files
col	COL_SIG_01	7	hctxf.org/col0a4e.html	409,419,482,484,485,619	hctxf.org/col0a4e.html,hctxf.org/col6a87.html,hctxf.org/col7a25.html,hctxf.org/col88a1.html,hctxf.org/colc8ae.html,hctxf.org/cole554.html,hctxf.org/colec28.html
col	COL_SIG_02	7	hctxf.org/col1267.html	409,419,482,484,485	hctxf.org/col1267.html,hctxf.org/col1797.html,hctxf.org/col425c.html,hctxf.org/col8ef3.html,hctxf.org/colc126.html,hctxf.org/coldb5c.html,hctxf.org/coldc6c.html
col	COL_SIG_03	1	hctxf.org/col004c.html	408,414,482,484,485	hctxf.org/col004c.html
col	COL_SIG_04	1	hctxf.org/col0717.html	409,420,482,484,485	hctxf.org/col0717.html
col	COL_SIG_05	1	hctxf.org/col09c3.html	410,460,482,484,485	hctxf.org/col09c3.html
col	COL_SIG_06	1	hctxf.org/col0d7d.html	410,482,484,485,513	hctxf.org/col0d7d.html
col	COL_SIG_07	1	hctxf.org/col0f0e.html	411,445,482,484,485,619	hctxf.org/col0f0e.html
col	COL_SIG_08	1	hctxf.org/col132f.html	411,441,482,484,485,619	hctxf.org/col132f.html
col	COL_SIG_09	1	hctxf.org/col294f.html	450,482,484,485,514	hctxf.org/col294f.html
col	COL_SIG_10	1	hctxf.org/col39d7.html	482,484,485,619,656	hctxf.org/col39d7.html
col	COL_SIG_11	1	hctxf.org/col3b75.html	411,482,484,485,545,548,556,557,558,559,560,561,562,563,619	hctxf.org/col3b75.html
col	COL_SIG_12	1	hctxf.org/col4b61.html	410,440,482,484,485	hctxf.org/col4b61.html
col	COL_SIG_13	1	hctxf.org/col4c30.html	408,421,453,482,484,485,619	hctxf.org/col4c30.html
col	COL_SIG_14	1	hctxf.org/col5cee.html	410,461,482,484,485	hctxf.org/col5cee.html
col	COL_SIG_15	1	hctxf.org/col64d0.html	408,415,482,484,485	hctxf.org/col64d0.html
col	COL_SIG_16	1	hctxf.org/col686a.html	410,482,484,485,540	hctxf.org/col686a.html
col	COL_SIG_17	1	hctxf.org/col6d44.html	482,484,485,537,542	hctxf.org/col6d44.html
col	COL_SIG_18	1	hctxf.org/col79ff.html	408,416,482,484,485	hctxf.org/col79ff.html
col	COL_SIG_19	1	hctxf.org/col97d4.html	410,454,482,484,485	hctxf.org/col97d4.html
col	COL_SIG_20	1	hctxf.org/col9bb2.html	408,417,482,484,485	hctxf.org/col9bb2.html
col	COL_SIG_21	1	hctxf.org/cola262.html	482,484,485,601,602,603,619	hctxf.org/cola262.html
col	COL_SIG_22	1	hctxf.org/cola9d2.html	482,484,485,619,648,649	hctxf.org/cola9d2.html
col	COL_SIG_23	1	hctxf.org/colb4cd.html	411,442,482,484,485,619	hctxf.org/colb4cd.html
col	COL_SIG_24	1	hctxf.org/colbce2.html	408,482,484,485,541	hctxf.org/colbce2.html
col	COL_SIG_25	1	hctxf.org/colc17f.html	411,443,482,484,485,619	hctxf.org/colc17f.html
col	COL_SIG_26	1	hctxf.org/colc7f4.html	482,484,485,619,650,651	hctxf.org/colc7f4.html
col	COL_SIG_27	1	hctxf.org/cold5b4.html	410,460,482,484,485,619	hctxf.org/cold5b4.html
index	INDEX_SIG_01	1	hctxf.org/index.html	428,431,432,433,482,484,485,506,507,509,510,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,532,533,534,535,536,583,586,587,588,589,590,598,599,600,619,620,623,624,625,632,633,634,635	hctxf.org/index.html
