old_slug,page_type,slug,title,quarantine_reason,suggestion
nd09fc,nd,2022,北京化成天下公益基金会2022年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd0cca,nd,2022-1,北京化成天下公益基金会2022年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd0d86,nd,2020,北京化成天下公益基金会2020年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd1288,nd,2018-2,北京化成天下公益基金会2018年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd1438,nd,2017,北京化成天下公益基金会2017年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd1c1d,nd,nd1c1d,挺直腰杆,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd2816,nd,nd2816,商业文化,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd31cd,nd,nd31cd,爱心企业在庆阳四中开展捐赠助学活动,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd31db,nd,2020-1,北京化成天下公益基金会2020年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd37bf,nd,2017-1,北京化成天下公益基金会2017年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd3a43,nd,2021,北京化成天下公益基金会2021年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd3c5c,nd,2019,北京化成天下公益基金会2019年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd3e0b,nd,2022-2,北京化成天下公益基金会2022年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd4018,nd,2020-2,北京化成天下公益基金会2020年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd4078,nd,2020-3,北京化成天下公益基金会2020年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd426c,nd,2017-2,北京化成天下公益基金会2017年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd46f5,nd,2016,2016年度北京化成天下公益基金会审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd4a4a,nd,2020-4,北京化成天下公益基金会2020年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd582f,nd,2021-1,北京化成天下公益基金会2021年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd5ec2,nd,nd5ec2,挺直腰杆,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd67cd,nd,nd67cd,挺直腰杆,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd6d44,nd,2017-4,2017年度北京化成天下公益基金会审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd6d49,nd,2019-1,北京化成天下公益基金会2019年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd6ea4,nd,2020-5,北京化成天下公益基金会2020年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd6fce,nd,2017-5,2017年度北京化成天下公益基金会审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd78dc,nd,2021-2,北京化成天下公益基金会2021年度工作报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd7de7,nd,2022-3,北京化成天下公益基金会2022年度审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd7edb,nd,nd7edb,爱心企业在庆阳四中开展捐赠助学活动,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd812e,nd,2017-6,2017年度北京化成天下公益基金会审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
nd8230,nd,2017-7,2017年度北京化成天下公益基金会审计报告,core_fields_missing,Fix title/slug/content in source HTML then rerun
